span_id,annotation_set_id,source_qa_id,answer_text,answer_start,answer_end,category_id,contract_id,target_category,negative_source_category
contract_0147__audit_rights__span_002,contract_0147__audit_rights,MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT__Audit Rights_2,This right to audit shall remain in effect throughout the life of this Agreement and for a period of three (3) years after the termination of this Agreement.,82271,82428,audit_rights,contract_0147,Revenue/Profit Sharing,Audit Rights
contract_0387__audit_rights__span_000,contract_0387__audit_rights,JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT__Audit Rights_0,"We have the right to inspect the proposed supplier's facilities, and require that product samples from the proposed supplier be delivered, at our option, either directly to us, or to any independent, certified laboratory that we may designate, for testing.",75218,75474,audit_rights,contract_0387,Revenue/Profit Sharing,Audit Rights
contract_0407__audit_rights__span_002,contract_0407__audit_rights,KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Audit Rights_2,"The auditor will only examine such books and records during business hours but not more than once each fiscal year while this Agreement remains in effect and for three years thereafter in order to verify expenses, Net Sales, Depomed Net Sales, PDEs or Details completed, or payments due under this Agreement.",101672,101980,audit_rights,contract_0407,Revenue/Profit Sharing,Audit Rights
contract_0364__renewal_term__span_000,contract_0364__renewal_term,MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Renewal Term_0,"At the end of such initial term, and any renewed term, as applicable, this Agreement shall automatically renew for an additional one (1) year term, unless a party provides written notice to the other parties at least six (6) months prior to the end of the",34042,34297,renewal_term,contract_0364,Revenue/Profit Sharing,Renewal Term
contract_0387__renewal_term__span_001,contract_0387__renewal_term,JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT__Renewal Term_1,"Subject to the provisions of subparagraph 2.6(b) below, and if you have substantially complied with all provisions of this Agreement and all other agreements between us, on expiration of the Initial Term, if you refurbish and decorate the Premises, replace fixtures, furnishings, wall decor, furniture, equipment, and signs and otherwise modify the Franchise in compliance with specifications and standards then applicable under new or renewal franchises for The Joint Corp. Location franchises, you will have the right to renew the Franchise for one (1) additional term of ten (10) years (the ""Renewal Term"").",18218,18828,renewal_term,contract_0387,Revenue/Profit Sharing,Renewal Term
contract_0066__uncapped_liability__span_000,contract_0066__uncapped_liability,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement__Uncapped Liability_0,"The provisions of Section 9.1 and Section 9.2 will not apply to limit the Licensee's indemnification obligations under Section 8.2, or in the case of Licensee's gross negligence or wilful misconduct.",25255,25454,uncapped_liability,contract_0066,Cap On Liability,Uncapped Liability
contract_0154__uncapped_liability__span_000,contract_0154__uncapped_liability,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement__Uncapped Liability_0,THE LIMITATIONS ON LIABILITY FOR DAMAGES SET FORTH IN THIS AGREEMENT SHALL BE INAPPLICABLE TO EACH PARTY'S CONTRACTUAL OBLIGATION TO INDEMNIFY THE OTHER PARTY AS SET FORTH IN SECTIONS 2.6 AND 13.,42426,42621,uncapped_liability,contract_0154,Cap On Liability,Uncapped Liability
contract_0157__uncapped_liability__span_000,contract_0157__uncapped_liability,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement__Uncapped Liability_0,"TO THE MAXIMUM EXTENT PERMISSIBLE UNDER APPLICABLE LAW, EXCEPT FOR THE WILFUL MISAPPROPRIATION OR INFRINGEMENT OF THE INTELLECTUAL PROPERTY OF A PARTY TO THIS AGREEMENT, OR THE OBLIGATIONS OF THE PARTIES TO THIS AGREEMENT PURSUANT TO SECTION 13, (A) THE LIABILITY OF ANY PARTY TO THIS AGREEMENT, IF ANY, FOR DAMAGES FOR ANY CLAIM OF ANY KIND WHATSOEVER AND REGARDLESS OF THE LEGAL THEORY, WITH REGARD TO THE RIGHTS GRANTED HEREUNDER OR THE SERVICES PERFORMED HEREUNDER, SHALL NOT INCLUDE COMPENSATION, REIMBURSEMENT OR DAMAGES ON ACCOUNT OF THE LOSS OF PRESENT OR PROSPECTIVE PROFITS, EXPENDITURES, DATA, OPPORTUNITY, ANTICIPATED SAVINGS, INVESTMENTS OR COMMITMENTS, WHETHER MADE IN ESTABLISHMENT, DEVELOPMENT OR MAINTENANCE OF REPUTATION OR GOODWILL OR FOR ANY OTHER REASON WHATSOEVER; AND (B) IN NO EVENT SHALL ANY PARTY TO THIS AGREEMENT BE LIABLE TO THE OTHER PARTIES TO THIS AGREEMENT FOR SPECIAL, INDIRECT, CONSEQUENTIAL, INCIDENTAL, PUNITIVE OR CONSEQUENTIAL DAMAGES.",90347,91321,uncapped_liability,contract_0157,Cap On Liability,Uncapped Liability
contract_0402__termination_for_convenience__span_000,contract_0402__termination_for_convenience,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement__Termination For Convenience_0,"COMPANY may, in its unfettered discretion, terminate this Agreement at any time after first givingCONTENT PROVIDER ten (10) days advance notice thereof.",13290,13442,termination_for_convenience,contract_0402,Cap On Liability,Termination For Convenience
contract_0171__anti_assignment__span_000,contract_0171__anti_assignment,ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT__Anti-Assignment_0,"No party to this Agreement may assign its rights or delegate its obligations under this Agreement, whether by operation of law or otherwise, and any assignment in contravention hereof shall be null and void.",28443,28650,anti_assignment,contract_0171,Cap On Liability,
contract_0272__cap_on_liability__span_001,contract_0272__cap_on_liability,UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT__Cap On Liability_1,"THE PROVIDER SHALL NOT BE LIABLE FOR ANY INCIDENTAL OR CONSEQUENTIAL DAMAGES, INCLUDING BUT NOT LIMITED TO LOSS OF REVENUES OR LOSS OF PROFIT, ARISING OUT OF THE PROVISION OF THE SERVICES OR REPAIRS, NOTWITHSTANDING ADVANCE NOTICE FROM THE COMPANY THAT THE POSSIBILITY OF SUCH DAMAGE OR LOSS EXISTS.",10592,10891,cap_on_liability,contract_0272,Uncapped Liability,Cap On Liability
contract_0040__cap_on_liability__span_000,contract_0040__cap_on_liability,SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement__Cap On Liability_0,"This includes in particular the liability exclusion for lost profit, the loss of data or interruption to or errors in the operation of the Web site of the Affiliate.",18644,18809,cap_on_liability,contract_0040,Uncapped Liability,Cap On Liability
contract_0289__cap_on_liability__span_000,contract_0289__cap_on_liability,"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009__Cap On Liability_0","It is expressly agreed that the Agent shall not be liable for any loss, liability, claim, damage or expense or be  required to contribute any amount pursuant to Section 9(b) or this Section 10 which in the aggregate exceeds the amount paid (excluding  reimbursable expenses) to the Agent under this Agreement.",134244,134553,cap_on_liability,contract_0289,Uncapped Liability,Cap On Liability
contract_0216__governing_law__span_000,contract_0216__governing_law,LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement__Governing Law_0,"This Agreement will be construed and governed in accordance with the laws of the State of Illinois, without regard to conflict of laws principles.",8862,9008,governing_law,contract_0216,Uncapped Liability,Governing Law
contract_0308__license_grant__span_000,contract_0308__license_grant,EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT__License Grant_0,"WGT reserves all rights in and to the Trademarks and all      other trademarks and trade names used by WGT in connection with the      Products, but WGT grants to Distributor the nonexclusive right to use and      display the Trademarks during the Term to promote and identify the Product      in the Territory in connection with this Agreement.",30691,31036,license_grant,contract_0308,Uncapped Liability,License Grant
contract_0346__renewal_term__span_001,contract_0346__renewal_term,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement__Renewal Term_1,"MBE shall have the right to elect by written notice to the Company at any time between two (2) and six (6) months prior to the end of such initial term or any subsequent Renewal Period (as defined below), to notify the Company that MBE elects to seek to extend such term for additional two (2)-year periods (each a ""Renewal Period"") In the event of such election, MBE and the Company shall have  -------------- a period of sixty (60) days in which to negotiate commercially reasonable Basic Fees, Bounty Fees and eBay Fees (and other applicable fees) (""Fee Schedule"")                                                               ------------ under which the Company would be willing to renew this Agreement for such Renewal Period.",57995,58727,renewal_term,contract_0346,Termination For Convenience,Renewal Term
contract_0073__renewal_term__span_000,contract_0073__renewal_term,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Renewal Term_0,"Upon expiry of the Initial Term, this Agreement [*****] unless a Notice of non-renewal is given by either Party to the other Party [*****] prior to the expiry of the Initial Term or the end of a renewal period, if any.",32174,32392,renewal_term,contract_0073,Termination For Convenience,Renewal Term
contract_0244__renewal_term__span_000,contract_0244__renewal_term,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement__Renewal Term_0,"This Agreement shall commence on the Effective Date and continue in full force and effect until the end of the fifteenth (15th) Contract Year, and shall continue in full force and effect thereafter until terminated by either Party by providing thirty (30) calendar days' prior written notice of termination to the other Party (such fifteen (15) Contract Year period, as may be further extended as provided herein is referred to as the ""Term"").",11577,12020,renewal_term,contract_0244,Termination For Convenience,Renewal Term
contract_0137__exclusivity__span_001,contract_0137__exclusivity,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Exclusivity_1,Franchisee  also  acknowledges  that Pretzel Time has granted the Franchise to  Franchisee  in  consideration  of and reliance  upon  Franchisee's agreement to deal  exclusively  with Pretzel Time.,207748,207945,exclusivity,contract_0137,Termination For Convenience,Exclusivity
contract_0177__uncapped_liability__span_002,contract_0177__uncapped_liability,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Uncapped Liability_2,"Except for claims under Sections 15.4  [INDEMNIFICATION BY NEOFORMA] and 15.5  [INDEMNIFICATION BY VERTICALNET] hereof, neither Party may bring a claim or action regardless of form, arising out of or related to this Agreement, including any claim of fraud or misrepresentation, more than two years after the cause of action accrues or",59597,59931,uncapped_liability,contract_0177,Termination For Convenience,Uncapped Liability
contract_0120__governing_law__span_000,contract_0120__governing_law,InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement__Governing Law_0,"The construction, interpretation and performance of this Agreement and all transactions under it shall be governed by the law of the State of Israel, without giving effect to choice of law rules, and both Parties consent to jurisdiction by the courts of the City of Haifa.",33760,34032,governing_law,contract_0120,Anti-Assignment,Governing Law
contract_0358__governing_law__span_000,contract_0358__governing_law,ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement__Governing Law_0,"This Agreement shall be governed by and construed in accordance with the laws of the Province of British Columbia and the federal laws of Canada applicable therein, excluding its conflict-of-laws rules.",4807,5009,governing_law,contract_0358,Anti-Assignment,Governing Law
contract_0065__governing_law__span_000,contract_0065__governing_law,ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement__Governing Law_0,This Agreement shall be governed by and construed under the laws of Hong Kong without regard to choice of laws principles.,40144,40266,governing_law,contract_0065,Anti-Assignment,Governing Law
contract_0107__exclusivity__span_002,contract_0107__exclusivity,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement__Exclusivity_2,"Without limitation of the preceding sentence or any other provision of this Agreement, Allied shall identify and name Newegg as a Founding Partner, and as the exclusive Technology E-Commerce (or E-tail) Partner, of the Arena and in all of Allied's marketing materials in connection with the Arena where reasonably practicable.",13620,13946,exclusivity,contract_0107,Anti-Assignment,Exclusivity
contract_0322__renewal_term__span_000,contract_0322__renewal_term,RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement__Renewal Term_0,"At the end of such [*] ([*]) year period, HSWI shall have the right to renew the Agreement under materially the same terms or shall have an option to purchase the Translated Content outright to the extent rights permit and to the extent the parties mutually agree to terms for such sale.",19525,19812,renewal_term,contract_0322,Anti-Assignment,Renewal Term
contract_0043__revenue_profit_sharing__span_007,contract_0043__revenue_profit_sharing,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement__Revenue/Profit Sharing_7,"In consideration of the License granted and other good and valuable consideration provided by T&B to LEA, LEA shall pay to T&B a base royalty (""Base Royalty"") in the amount of [●%] of LEA's monthly Cash Sales for Cash Sales of up to [$●].",20365,20603,revenue_profit_sharing,contract_0043,Audit Rights,Revenue/Profit Sharing
contract_0193__revenue_profit_sharing__span_001,contract_0193__revenue_profit_sharing,FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement__Revenue/Profit Sharing_1,The revenue share for the Program is stated in Exhibit B.,6665,6722,revenue_profit_sharing,contract_0193,Audit Rights,Revenue/Profit Sharing
contract_0166__revenue_profit_sharing__span_000,contract_0166__revenue_profit_sharing,HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT__Revenue/Profit Sharing_0,"License Renewal and Maintenance Fees will be split evenIy with 50% distributed to Developer and 50% distributed to Distributor, also subject to paragraph 4 of this section 2.3.",14315,14491,revenue_profit_sharing,contract_0166,Audit Rights,Revenue/Profit Sharing
contract_0142__license_grant__span_001,contract_0142__license_grant,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT__License Grant_1,"As part of the exclusive distribution right granted in this Section 2, Vendor hereby grants Distributor the non- exclusive, non-transferable right to use and display Vendor's trademarks, logos, Product photographs and images, Product advertising and promotional copy, including but not limited to the materials contained in Vendor's website, in connection with the promotion, advertising and distribution of the Products.",6729,7150,license_grant,contract_0142,Audit Rights,License Grant
contract_0025__revenue_profit_sharing__span_002,contract_0025__revenue_profit_sharing,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1__Revenue/Profit Sharing_2,A majority of the Restaurant owners in the Regional Fund may vote to increase the amount of each Restaurant owner's Regional Fund contribution by up to an additional two percent (2%) of each Restaurant's Gross Revenues.,86989,87208,revenue_profit_sharing,contract_0025,Audit Rights,Revenue/Profit Sharing
contract_0059__exclusivity__span_002,contract_0059__exclusivity,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Exclusivity_2,"MediWound shall have an exclusive license under patents and other intellectual property, to develop, use, manufacture, market and sell the Product for burn treatment in humans;",1794,1970,exclusivity,contract_0059,License Grant,Exclusivity
contract_0230__exclusivity__span_001,contract_0230__exclusivity,CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement__Exclusivity_1,"Subject to the provisions of this Agreement, Bioeq hereby grants to Licensee an exclusive (even as to Bioeq), milestone- and royalty-bearing, non-transferable license (including the right to grant sublicenses only to the extent permitted by Section 2.1.2) under the Licensed Technology (including the Licensed Patents) to use, sell, have sold, import, have imported or otherwise Commercialize the Licensed Products in the Field in the Territory.",29647,30092,exclusivity,contract_0230,License Grant,Exclusivity
contract_0287__exclusivity__span_000,contract_0287__exclusivity,OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1__Exclusivity_0,"Based on the foregoing, and subject to the terms and conditions contained in this Agreement, the Agents severally and not jointly agree to act as, and the Corporation appoints the Agents as, the exclusive agents of the Corporation to offer the Offered Shares for sale on the Closing Date (as defined herein) in the Selling Jurisdictions (as defined herein) on a private placement basis at the Offering Price.",1674,2082,exclusivity,contract_0287,License Grant,Exclusivity
contract_0014__revenue_profit_sharing__span_000,contract_0014__revenue_profit_sharing,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT__Revenue/Profit Sharing_0,"In addition to the 5% amount calculated pursuant to the preceding paragraph, there shall be an identical 5% amount to be paid from THI, per Premier's consideration, to certain shareholders of Premier, as identified by Premier, as of a record date to be determined in the future, on an annual basis, commencing on the one-year anniversary of this Agreement until a total amount of $40,000,000 has been paid to Premier.",12407,12824,revenue_profit_sharing,contract_0014,License Grant,Revenue/Profit Sharing
contract_0105__audit_rights__span_002,contract_0105__audit_rights,VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT__Audit Rights_2,"Operator shall cooperate with Owner's auditors by (i) making the applicable books and records available for inspection by Owner's auditors, and (ii) making such copies of books and records as may be reasonably requested by such auditors. In no event shall Owner's audits unreasonably interfere with Operator's operations.",37979,38300,audit_rights,contract_0105,License Grant,Audit Rights
contract_0143__license_grant__span_001,contract_0143__license_grant,"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement__License Grant_1","Without limiting the foregoing, Magenta may use and disclose Bachem Intellectual Property to the extent necessary in connection with the prosecution, maintenance and enforcement of Magenta Developed Intellectual Property.",45412,45633,license_grant,contract_0143,Exclusivity,License Grant
contract_0300__license_grant__span_000,contract_0300__license_grant,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1__License Grant_0,"Subject to the terms and conditions of this Agreement, Licensor hereby grants to Licensee, and Licensee hereby accepts from Licensor, an exclusive, non-transferable (except as set forth in Section 10.7) and non-sublicensable (except as provided in Section 2.1(c)) license to use the Licensed Content in connection with websites associated with the Licensed Domain Names until the earlier of (i) termination or expiration of this Agreement, or (ii) termination or expiration of the Agency Agreement, provided, however, that in the event the Agency Agreement is amended or restated, such amendment or restatement shall not be deemed a termination or expiration of the Agency Agreement.",8355,9038,license_grant,contract_0300,Exclusivity,License Grant
contract_0011__license_grant__span_000,contract_0011__license_grant,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement__License Grant_0,"shall retain those licenses granted to it under this Agreement, provided that the license shall be limited to the business, products or services (as applicable) of the Divested Entity as of the date of divestment and such natural development thereof within the Nuance Field of Use (where Nuance is the divesting Party) or SpinCo Field of Use (where SpinCo is the divesting party).",41009,41389,license_grant,contract_0011,Exclusivity,License Grant
contract_0167__audit_rights__span_001,contract_0167__audit_rights,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT__Audit Rights_1,"In order to preserve the validity and integrity of the Marks and





copyrighted material licensed to you and to assure that you are properly employing the same in the operation of your Franchised Restaurant, we and our agents have the right of entry and inspection of your premises and operating procedures at all reasonable times.",27860,28193,audit_rights,contract_0167,Exclusivity,Audit Rights
contract_0183__renewal_term__span_000,contract_0183__renewal_term,LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement__Renewal Term_0,"LeadersOnline shall have the option, subject to VerticalNet's approval exercised in its sole  and absolute discretion, to extend the Term of this Agreement for an additional 12 months (a ""Renewal Term"") on such terms and conditions as may be mutually agreed upon by the Parties.",24518,24796,renewal_term,contract_0183,Exclusivity,Renewal Term
